Date, Close/Last, Volume, Open, High, Low
10/16/2020, $3272.71, 6474353, $3363.23, $3399.6606, $3160
10/15/2020, $3338.65, 5223448, $3292.01, $3355.88, $3280
10/14/2020, $3363.71, 5828916, $3447, $3464.88, $3340
10/13/2020, $3443.63, 5744697, $3467.99, $3492.38, $3424.217
10/12/2020, $3442.93, 8364198, $3349.94, $3496.24, $3339.55
10/09/2020, $3286.65, 4907871, $3210, $3288.99, $3197.83
10/08/2020, $3190.55, 3174114, $3224.99, $3233.2944, $3174.99
10/07/2020, $3195.69, 4309439, $3135, $3200, $3132.385
10/06/2020, $3099.96, 5086857, $3165, $3182, $3090
10/05/2020, $3199.2, 3775332, $3145.84, $3202.53, $3140.85
10/02/2020, $3125, 5613098, $3153.63, $3195.7965, $3123
10/01/2020, $3221.26, 4971922, $3208, $3224, $3172
09/30/2020, $3148.73, 4896101, $3141.14, $3212.88, $3133.99
09/29/2020, $3144.88, 3503398, $3175.39, $3188.26, $3132.54
09/28/2020, $3174.05, 4224165, $3148.85, $3175.04, $3117.1684
09/25/2020, $3095.13, 4615202, $3054.86, $3101.54, $2999
09/24/2020, $3019.79, 5529392, $2977.79, $3069.3, $2965
09/23/2020, $2999.86, 5652665, $3120.43, $3126.999, $2992.3759
09/22/2020, $3128.99, 6948816, $3033.835, $3133.99, $3000.2
09/21/2020, $2960.47, 6117925, $2906.5, $2962, $2871
09/18/2020, $2954.91, 8892580, $3031.74, $3037.8, $2905.54
09/17/2020, $3008.73, 6449050, $3009.25, $3029.432, $2972.55
